ticker1,ticker2,ssd
EUYO.IS,GEDIK.IS,18.22661558699076
AGHOL.IS,YYAPI.IS,18.349099881384973
BRKSN.IS,DESA.IS,18.36758067027995
LKMNH.IS,TURSG.IS,18.36963146399171
INVEO.IS,PNSUT.IS,18.45047753480071
VKGYO.IS,YUNSA.IS,18.481460424566535
ARSAN.IS,LKMNH.IS,18.505110860440254
DAGI.IS,FRIGO.IS,18.57206467414403
EUYO.IS,HUBVC.IS,18.5786235808157
ALGYO.IS,FROTO.IS,18.61178777781106
AKSA.IS,ALKIM.IS,18.690276827828143
EGPRO.IS,VAKFN.IS,18.713911150130684
HUBVC.IS,VKGYO.IS,18.80060731934111
DURDO.IS,INVEO.IS,18.8010476311444
SEKFK.IS,TURSG.IS,18.847968672795787
AKSA.IS,HUBVC.IS,18.89498756757166
EUYO.IS,KGYO.IS,18.897895166777175
HUBVC.IS,OYAKC.IS,18.95934313359976
DURDO.IS,OYAKC.IS,19.089226340246114
EUYO.IS,SEKFK.IS,19.137634489541597
ANSGR.IS,PETUN.IS,19.18039888962994
VAKFN.IS,ZEDUR.IS,19.204588040494514
DESA.IS,VKGYO.IS,19.220615449353772
OYAKC.IS,SILVR.IS,19.28880365905502
HUBVC.IS,SARKY.IS,19.296581153848365
DURDO.IS,TUKAS.IS,19.37877316427796
EGPRO.IS,EUKYO.IS,19.44033174153003
EREGL.IS,HUBVC.IS,19.449321634099192
DESA.IS,EREGL.IS,19.521727539438302
BTCIM.IS,PETUN.IS,19.555565369713122
FROTO.IS,GEDIK.IS,19.56755435370019
DESA.IS,GEDIK.IS,19.668831457894044
ANSGR.IS,EREGL.IS,19.6816876412106
CRDFA.IS,OYAKC.IS,19.70006840691542
FROTO.IS,GLRYH.IS,19.782311185136336
DESA.IS,SASA.IS,19.78600098166521
AGHOL.IS,KRONT.IS,19.79574660024082
ALGYO.IS,BTCIM.IS,19.85132689139914
ANSGR.IS,ETYAT.IS,19.865955631100405
DAGI.IS,SILVR.IS,19.94025670516362
DAGI.IS,EREGL.IS,19.96953650447722
CRDFA.IS,EUYO.IS,20.039181660538702
GEDIK.IS,HUBVC.IS,20.047862284986536
BRKSN.IS,GEREL.IS,20.187753335682373
SAMAT.IS,SARKY.IS,20.25761860061948
DESA.IS,OZGYO.IS,20.262730805854517
INVEO.IS,VAKFN.IS,20.283375733641606
ALGYO.IS,SILVR.IS,20.294160401487716
BTCIM.IS,OYAKC.IS,20.30133394464849
VKGYO.IS,ZEDUR.IS,20.381816257852165
BIMAS.IS,RYGYO.IS,20.39756690977447
DESA.IS,KRONT.IS,20.398217325909172
BURCE.IS,GEREL.IS,20.476012650358825
DURDO.IS,EREGL.IS,20.521367532650856
BURCE.IS,PINSU.IS,20.534624963222313
ADEL.IS,KRONT.IS,20.60959629820468
ANSGR.IS,GEREL.IS,20.660399920758323
FROTO.IS,OZGYO.IS,20.679632591021345
EREGL.IS,YUNSA.IS,20.681362722500694
GLRYH.IS,SILVR.IS,20.78071130980868
EUYO.IS,VKGYO.IS,20.79176759448478
DESA.IS,GLRYH.IS,20.79733461056685
BRKSN.IS,FROTO.IS,20.814579815170646
CRDFA.IS,TURSG.IS,20.84662718999607
BURCE.IS,TURSG.IS,20.97046766008316
PETUN.IS,TURSG.IS,20.984997364191372
ADEL.IS,ETYAT.IS,20.99547558144718
ARSAN.IS,YAPRK.IS,20.99682135733201
GEREL.IS,PINSU.IS,21.018347991778455
ANSGR.IS,CRDFA.IS,21.080337010965422
EGPRO.IS,ESCOM.IS,21.088680704840044
LKMNH.IS,YYAPI.IS,21.134783469017975
GEDIK.IS,SILVR.IS,21.153628472230366
DURDO.IS,MRGYO.IS,21.1576211581812
EUKYO.IS,HUBVC.IS,21.194943955783515
AGHOL.IS,SILVR.IS,21.231003018475803
FROTO.IS,OYAKC.IS,21.25931336858264
PETUN.IS,ZEDUR.IS,21.29104241722996
SNPAM.IS,ZEDUR.IS,21.36548031911559
EGPRO.IS,EREGL.IS,21.473618159909847
AEFES.IS,RYGYO.IS,21.494987406578957
GLYHO.IS,KRONT.IS,21.515347752101206
BTCIM.IS,PNSUT.IS,21.53834240072797
DAGI.IS,TKFEN.IS,21.622668675376303
OZGYO.IS,SILVR.IS,21.67449244049908
INVEO.IS,VKGYO.IS,21.679632848070696
ETYAT.IS,VAKFN.IS,21.688299971568767
HUBVC.IS,KRONT.IS,21.749016328932157
ALGYO.IS,ETYAT.IS,21.798010991050432
BTCIM.IS,SEKFK.IS,21.841588983063957
DURDO.IS,ZEDUR.IS,21.85635092603752
BTCIM.IS,GLRYH.IS,21.871613130109267
FROTO.IS,MRGYO.IS,21.879210358569367
DAGI.IS,VAKFN.IS,22.02977079885818
ANSGR.IS,KRONT.IS,22.083325139448334
BRKSN.IS,KRONT.IS,22.147648192762745
FRIGO.IS,KRONT.IS,22.17036865448631
